percent_oc,percent_fines,region,site,cover
0.33,7.2,Washington,Samish Bay,Vegetated
0.29,5.32,Washington,Samish Bay,Unvegetated
0.48,9.28,Washington,Samish Bay,Vegetated
0.34,8.55,Washington,Samish Bay,Vegetated
0.49,21.41,Washington,Padilla Bay,Vegetated
0.45,23.11,Washington,Padilla Bay,Vegetated
0.36,10.31,Washington,Padilla Bay,Vegetated
0.39,13.3,Washington,Padilla Bay,Vegetated
0.38,12.04,Washington,Padilla Bay,Vegetated
0.37,11.44,Washington,Padilla Bay,Vegetated
0.47,17.09,Washington,Padilla Bay,Vegetated
0.35,30.98,Washington,Padilla Bay,Vegetated
0.51,34.21,Washington,Skagit Bay,Vegetated
0.36,18.16,Washington,Skagit Bay,Unvegetated
0.79,22.6,Washington,Skagit Bay,Vegetated
0.38,17.78,Washington,Skagit Bay,Unvegetated
0.42,12.55,Washington,Skagit Bay,Vegetated
0.44,28.52,Washington,Skagit Bay,Unvegetated
0.45,23.92,Washington,Skagit Bay,Vegetated
0.46,18.51,Washington,Skagit Bay,Unvegetated
0.93,7.5,British Columbia,Pruth Bay,Vegetated
0.43,0.22,British Columbia,McMullins North,Vegetated
0.18,0.73,British Columbia,Koeye Estuary,Vegetated
0.15,0.21,British Columbia,Choked Passage,Vegetated
0.81,1.96,British Columbia,Triquet Bay,Vegetated
0.25,0.13,British Columbia,Goose SW,Vegetated
0.6,5.02,British Columbia,Pruth Bay,Vegetated
0.33,1,British Columbia,Pruth Bay,Vegetated
0.6,9.03,British Columbia,Pruth Bay,Vegetated
0.64,8.39,British Columbia,Pruth Bay,Vegetated
0.61,7.31,British Columbia,Pruth Bay,Vegetated
0.5,6.27,British Columbia,Pruth Bay,Vegetated
0.62,2.81,British Columbia,Pruth Bay,Unvegetated
0.43,4.79,British Columbia,Pruth Bay,Unvegetated
0.56,7.19,British Columbia,Pruth Bay,Unvegetated
0.71,0.4,British Columbia,McMullins North,Vegetated
0.75,1.03,British Columbia,McMullins North,Vegetated
0.92,0.63,British Columbia,McMullins North,Vegetated
0.92,0.35,British Columbia,McMullins North,Vegetated
0.75,0.33,British Columbia,McMullins North,Vegetated
0.23,0.7,British Columbia,McMullins North,Vegetated
0.19,0.05,British Columbia,McMullins North,Unvegetated
0.4,0.68,British Columbia,McMullins North,Unvegetated
1.11,0.03,British Columbia,McMullins North,Unvegetated
0.3,0.32,British Columbia,Koeye Estuary,Vegetated
0.38,0.33,British Columbia,Koeye Estuary,Vegetated
0.33,0.49,British Columbia,Koeye Estuary,Vegetated
0.29,0.89,British Columbia,Koeye Estuary,Vegetated
0.47,2.38,British Columbia,Koeye Estuary,Vegetated
0.42,0.54,British Columbia,Koeye Estuary,Vegetated
0.24,0.4,British Columbia,Koeye Estuary,Unvegetated
0.8,0.37,British Columbia,Koeye Estuary,Unvegetated
0.2,0.36,British Columbia,Koeye Estuary,Unvegetated
0.16,0.16,British Columbia,Choked Passage,Vegetated
0.09,0.16,British Columbia,Choked Passage,Vegetated
0.15,0.12,British Columbia,Choked Passage,Vegetated
0.18,0.06,British Columbia,Choked Passage,Vegetated
0.19,0.19,British Columbia,Choked Passage,Vegetated
0.2,0.06,British Columbia,Choked Passage,Vegetated
0.1,0.06,British Columbia,Choked Passage,Unvegetated
0.12,0.17,British Columbia,Choked Passage,Unvegetated
0.18,0.11,British Columbia,Choked Passage,Unvegetated
0.79,0.95,British Columbia,Triquet Bay,Vegetated
0.34,0.47,British Columbia,Triquet Bay,Vegetated
0.36,0.23,British Columbia,Triquet Bay,Vegetated
0.97,0.88,British Columbia,Triquet Bay,Vegetated
1.2,2.3,British Columbia,Triquet Bay,Vegetated
0.52,1.03,British Columbia,Triquet Bay,Vegetated
0.55,0.47,British Columbia,Triquet Bay,Unvegetated
0.55,0.79,British Columbia,Triquet Bay,Unvegetated
0.23,0.25,British Columbia,Triquet Bay,Unvegetated
0.24,0.38,British Columbia,Goose SW,Vegetated
0.34,0.2,British Columbia,Goose SW,Vegetated
0.26,0.18,British Columbia,Goose SW,Vegetated
0.2,0.24,British Columbia,Goose SW,Vegetated
0.2,0.04,British Columbia,Goose SW,Vegetated
0.32,0.15,British Columbia,Goose SW,Vegetated
0.51,0.03,British Columbia,Goose SW,Unvegetated
0.38,0.41,British Columbia,Goose SW,Unvegetated
0.21,0.05,British Columbia,Goose SW,Unvegetated
1.66,18.45,British Columbia,Pruth Bay,Vegetated
0.13,3.5,Washington,Dumas Bay (50.1),Vegetated
0.35,10.35,Washington,Neill Point (50.2),Vegetated
0.68,8.8,Oregon,Valino Island (25.1),Vegetated
1.63,17.9,Oregon,Hidden Channel,Vegetated
0.29,12,Washington,Skagit Bay,Vegetated
0.515,19,Washington,Skagit Bay,Vegetated
0.249,9,Washington,Skagit Bay,Vegetated
0.283,11,Washington,Padilla Bay,Vegetated
0.277,10,Washington,Padilla Bay,Vegetated
0.316,10,Washington,Padilla Bay,Vegetated