study,region,map_inset,site,sample_type,avg_d13C,st_dev_d13C,n_d13C,avg_d15N,st_dev_d15N,n_d15N,,
Prentice et al 2019,British Columbia,Central Coast BC,Pruth Bay,sediment,-16.84,1.69,24,6.96,0.76,11,,
Prentice et al 2019,British Columbia,Central Coast BC,Choked Pass,sediment,-18.73,2.50,5,NA,NA,NA,,
Prentice et al 2019,British Columbia,Central Coast BC,Triquet Bay,sediment,-18.15,3.64,12,6.73,0.18,2,,
Prentice et al 2019,British Columbia,Central Coast BC,McMullins N,sediment,-21.99,1.36,11,7.3,0.71,2,,
Prentice et al 2019,British Columbia,Central Coast BC,Goose SW,sediment,-19.69,1.16,12,6.59,1.16,2,,
Prentice et al 2019,British Columbia,Central Coast BC,Koeye,sediment,-20.94,4.22,11,7.27,0,1,,
Murray 2017,Washington,Central Salish Sea,Padilla Bay,sediment,-16.8,0.14,11,6.57,0.17,31,,
Murray 2017,Washington,Central Salish Sea,Skagit Bay,sediment,-23.74,0.24,11,3.3,0.21,33,,
Short et al 2017,Washington,Southern Salish Sea,Dumas Bay (50.1),sediment,-19.52,0.89,7,6.8,0,1,,
Short et al 2017,Washington,Southern Salish Sea,Neill Point (50.2),sediment,-19.45,4.72,6,NA,NA,NA,,
Short et al 2017,Oregon,South Slough,Hidden Creek,sediment,-23.31,1.29,9,7.15,0.50,8,,
Short et al 2017,Oregon,South Slough,Valino Island (25.1),sediment,-23.02,0.68,6,6.68,0.26,6,,
Olson 2017,British Columbia,Central Coast BC,BC Central Coast,eelgrass (central coast),-11.1,1.5,NA,4.22,0.95,NA,,
Howe 2012,Washington,Southern Salish Sea,Southern Salish Sea,eelgrass (puget sound),-8.08,0.54,NA,8.92,0.65,NA,,
Dethier et al 2013,Washington,Central Salish Sea,Central Salish Sea,eelgrass (san juan islands),-9.97,2,NA,4.86,0.86,NA,,
Howe 2012,Washington,Central Salish Sea,Central Salish Sea,benthic diatoms,-19.04,0.46,NA,6.38,0.15,NA,,
Howe 2012,Washington,Central Salish Sea,Central Salish Sea,phytoplankton,-19.52,1.41,NA,3.37,0.63,NA,,
Howe 2012,Washington,Central Salish Sea,Central Salish Sea,riverine POM,-25.83,0.51,NA,1.95,0.96,NA,,
Olson 2017,British Columbia,Central Coast BC,BC Central Coast,marine POM,-20.39,1.13,NA,6.3,0.37,NA,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,