study,region,map_inset,site,sampling_period,cover,num_cores,avg_core_length_cm,min_core_length_cm,max_core_length_cm,avg_compaction_cm,avg_compaction_percent,lattitude,longitude,dom_veg_1,dom_veg_2,tidal_height,dbd_g_cm3,oc_density_mg_cm3,percent_om,percent_oc,percen_oc_min,percent_oc_max,percent_tc,percent_ic,30cm_oc_stock_g_m2,25cm_oc_stock_g_m2,projected_1m_oc_stock_g_m2,true_1m_oc_stock_g_m2
Stephens and Eckert 2018,Alaska,Southeast Alaska,Blanquizal Point,April - August 2017,Vegetated,1,30,30,30,7.4,24.5,55.62,-133.39,Zostera marina,NA,Intertidal,1.33,NA,2.38,0.71,0.49,0.96,NA,4.95,1396,1163,4652,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Chusini Cove,April - August 2017,Vegetated,1,30,30,30,11.7,38.9,55.81,-133.17,Zostera marina,NA,Intertidal,0.80,NA,5.06,1.55,0.68,3.27,NA,7.61,1712,1427,5707,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Dunbar Inlet,April - August 2017,Vegetated,1,30,30,30,1.7,5.7,55.08,-132.83,Zostera marina,NA,Intertidal,1.63,NA,8.29,2.56,1.32,5.12,NA,8.79,6150,5125,20501,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Garcia Bay,April - August 2017,Vegetated,1,30,30,30,10.9,36.4,55.55,-133.43,Zostera marina,NA,Intertidal,1.67,NA,3.43,1.04,0.45,2.93,NA,3.97,2137,1781,7122,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Goat Mouth Inlet,April - August 2017,Vegetated,1,30,30,30,5.4,17.9,55.19,-132.90,Zostera marina,NA,Intertidal,1.58,NA,2.20,0.65,0.17,1.24,NA,5.19,1520,1267,5066,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Hetta Cove,April - August 2017,Vegetated,1,30,30,30,4.2,14.1,55.16,-132.59,Zostera marina,NA,Intertidal,1.64,NA,1.60,0.47,0.29,0.77,NA,2.40,1109,924,3696,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Kaguk Cove,April - August 2017,Vegetated,1,30,30,30,5.3,17.6,55.73,-133.29,Zostera marina,NA,Intertidal,1.04,NA,3.56,1.08,0.04,1.34,NA,5.26,1645,1371,5485,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Natzuhini Bay,April - August 2017,Vegetated,1,30,30,30,4.4,14.5,55.25,-132.88,Zostera marina,NA,Intertidal,1.28,NA,2.92,0.88,0.47,1.27,NA,4.79,1645,1371,5484,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Naukati Bay,April - August 2017,Vegetated,1,30,30,30,2.8,9.3,55.86,-133.19,Zostera marina,NA,Intertidal,0.91,NA,5.10,1.56,1.05,2.72,NA,4.06,2085,1737,6950,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,North Pass,April - August 2017,Vegetated,1,30,30,30,8.5,28.3,55.23,-132.93,Zostera marina,NA,Intertidal,1.33,NA,2.88,0.87,0.53,1.98,NA,7.46,1574,1312,5246,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Nossuk Bay,April - August 2017,Vegetated,1,30,30,30,4.8,16,55.71,-133.34,Zostera marina,NA,Intertidal,1.01,NA,4.84,1.48,0.81,2.19,NA,3.72,2072,1727,6908,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Salt Lake Bay,April - August 2017,Vegetated,1,30,30,30,13.5,45,55.67,-133.38,Zostera marina,NA,Intertidal,1.25,NA,9.38,2.90,2.06,3.29,NA,9.71,5406,4505,18019,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Soda Bay,April - August 2017,Vegetated,1,30,30,30,7.5,25,55.26,-133.00,Zostera marina,NA,Intertidal,1.47,NA,7.16,2.21,1.67,3.41,NA,8.19,4856,4046,16186,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,South Fish Egg Island,April - August 2017,Vegetated,1,30,30,30,5.3,17.8,55.48,-133.18,Zostera marina,NA,Intertidal,1.36,NA,2.30,0.69,0.48,1.46,NA,4.98,1342,1119,4475,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,South Wadleigh Island,April - August 2017,Vegetated,1,30,30,30,5.5,18.4,55.53,-133.15,Zostera marina,NA,Intertidal,1.02,NA,4.96,1.52,0.67,4.97,NA,4.02,1835,1529,6116,NA
Stephens and Eckert 2018,Alaska,Southeast Alaska,Trocadero Bay,April - August 2017,Vegetated,1,30,30,30,13.6,45.2,55.34,-133.00,Zostera marina,NA,Intertidal,1.77,NA,1.74,0.51,0.35,0.84,NA,NA,1317,1098,4391,NA
Lutz 2018,Washington,Central Salish Sea,Samish Bay,"July - September 2016, 2017",Vegetated,3,53,27,59,7.3,15.8,48.56,-122.49,Zostera marina,NA,Subtidal,1.49,10,1.67,0.42,0.18,0.48,0.44,0.11,1483,1336,5344,NA
Lutz 2018,Washington,Central Salish Sea,Samish Bay,"July - September 2016, 2017",Unvegetated,1,51,51,73,8.0,15.7,48.56,-122.49,bare,NA,Intertidal,1.54,4,1.28,0.29,0.13,0.55,0.60,0.31,1245,1129,4516,NA
Lutz 2018,Washington,Central Salish Sea,Padilla Bay,"July - September 2016, 2017",Vegetated,8,55,25,87,8.5,10.1,48.50,-122.52,Zostera marina,NA,Subtidal,1.40,5.9,1.77,0.44,0.12,1.40,0.51,0.02,1500,1435,5740,NA
Lutz 2018,Washington,Central Salish Sea,Skagit Bay,"July - September 2016, 2017",Vegetated,4,62,55,69,9.8,15.3,48.33,-122.32,Zostera marina,NA,Subtidal,1.36,7.9,2.36,0.63,0.18,2.08,0.55,0.01,2261,2500,10000,NA
Lutz 2018,Washington,Central Salish Sea,Skagit Bay,"July - September 2016, 2017",Unvegetated,4,70,61,81,13.0,20.0,48.33,-122.32,bare,NA,Subtidal,1.43,10,1.83,0.46,0.16,1.64,0.34,0.02,1348,1339,5356,NA
Poppe and Rybczyk 2018,Washington,Central Salish Sea,Padilla Bay,December 2013,Vegetated,6,40,36,44,NA,NA,48.50,-122.52,Zostera marina,Zostera japonica,Intertidal,1.31,5.1,1.68,0.41,0.30,0.60,0.41,0.00,1420,1180,4720,NA
Poppe and Rybczyk 2018,Washington,Central Salish Sea,Padilla Bay,December 2013,Unvegetated,1,44,44,44,NA,NA,48.50,-122.52,bare,NA,Intertidal,1.02,10.4,3.84,1.088,na,na,1.09,0.00,3690,3055,12220,NA
Prentice et al 2019,British Columbia,Central Coast BC,Choked Passage,August 2016,Vegetated,7,36.4,25,83,8.2,NA,51.67,-128.12,Zostera marina,NA,Subtidal,1.54,2.8,na,0.18,0.00,0.77,1.45,1.27,739,665,2658,NA
Prentice et al 2019,British Columbia,Central Coast BC,Choked Passage,August 2016,Unvegetated,3,29.7,29,30,NA,NA,51.67,-128.12,bare,NA,Subtidal,1.69,2.3,na,0.14,0.09,0.20,0.99,0.85,728.41,600.3,2401.4,NA
Prentice et al 2019,British Columbia,Central Coast BC,Goose SW,August 2016,Vegetated,7,36,25,80,8.1,NA,51.92,-128.46,Zostera marina,NA,Subtidal,1.31,3,na,0.23,0.00,0.45,1.85,1.62,885.78,740.3,2961.3,NA
Prentice et al 2019,British Columbia,Central Coast BC,Goose SW,August 2016,Unvegetated,3,23.8,11.5,30,NA,NA,51.92,-128.46,bare,NA,Subtidal,1.23,3.4,na,0.28,0.09,0.58,3.31,3.03,941.54,743.0,2971.9,NA
Prentice et al 2019,British Columbia,Central Coast BC,Koeye Estuary,August 2016,Vegetated,7,29.8,23,50,35.4,NA,51.78,-127.88,Zostera marina,NA,Subtidal,1.66,5.4,na,0.32,0.05,1.67,1.65,1.33,2087.49,1413.7,5654.9,NA
Prentice et al 2019,British Columbia,Central Coast BC,Koeye Estuary,August 2016,Unvegetated,3,21.7,20,23,NA,NA,51.78,-127.88,bare,NA,Subtidal,1.81,5.2,na,0.3,0.15,1.39,0.74,0.44,NA,NA,NA,NA
Prentice et al 2019,British Columbia,Central Coast BC,McMullins North,August 2016,Vegetated,7,32.4,20,69,8.7,36.4,52.06,-128.41,Zostera marina,NA,Subtidal,1.55,11.1,na,0.71,0.14,2.56,1.83,1.13,2886,2944,11777,NA
Prentice et al 2019,British Columbia,Central Coast BC,McMullins North,August 2016,Unvegetated,3,29.7,29,30,NA,NA,52.06,-128.41,bare,NA,Subtidal,1.52,7.4,na,0.5,0.13,2.00,2.77,2.26,2911,2035,8142,NA
Prentice et al 2019,British Columbia,Central Coast BC,Pruth Bay,August 2016,Vegetated,7,28.9,22,51.5,30.3,NA,51.65,-128.12,Zostera marina,NA,Both,1.46,8.9,na,0.62,0.26,1.43,0.73,0.12,2932,2052,8210,NA
Prentice et al 2019,British Columbia,Central Coast BC,Pruth Bay,August 2016,Unvegetated,3,24.7,22,26,NA,NA,51.65,-128.12,bare,NA,Both,1.38,7.9,na,0.57,0.34,1.30,0.86,0.29,NA,1743,6971,NA
Prentice et al 2019,British Columbia,Central Coast BC,Triquet Bay,August 2016,Vegetated,7,34,29,59,12.1,NA,51.81,-128.24,Zostera marina,NA,Both,1.22,9.1,na,0.74,0.17,1.54,3.47,2.73,2481,2218,8872,NA
Prentice et al 2019,British Columbia,Central Coast BC,Triquet Bay,August 2016,Unvegetated,3,28.3,25,30,NA,NA,51.81,-128.24,bare,NA,Both,1.12,7.6,na,0.68,0.15,2.97,6.56,5.88,2496,1447,5787,NA
Short et al 2017,British Columbia,Central Coast BC,Pruth Bay,May - June 2016,Vegetated,3,70.7,65,75,NA,NA,51.65,-128.12,Zostera marina,NA,Intertidal,1.42,7.9,na,0.595,0.16,2.48,0.71,0.11,2216,1834,7335,NA
Short et al 2017,Oregon,South Slough,Valino Island (25.1),May - June 2016,Vegetated,3,94.2,85,102.5,NA,NA,43.31,-124.32,Zostera marina,NA,Intertidal,1.30,13.0,na,1.02,0.10,1.39,0.86,0.02,4058,3344,13374,14178.0
Short et al 2017,Oregon,South Slough,Hidden Channel,May - June 2016,Vegetated,3,88,74,95,NA,NA,43.40,-124.32,Zostera marina,NA,Intertidal,0.96,15.9,na,1.72,1.06,2.72,1.73,0.02,5005,3912,15649,15495.8
Short et al 2017,Washington,Southern Salish Sea,Dumas Bay (50.1),May - June 2016,Vegetated,3,49.8,37.5,56,NA,NA,47.52,-122.51,Zostera marina,NA,Intertidal,1.43,2.7,na,0.19,0.12,0.36,0.23,0.04,805,657,2629,NA
Short et al 2017,Washington,Southern Salish Sea,Neill Point (50.2),May - June 2016,Vegetated,3,18,9,22.5,NA,NA,47.33,-122.49,Zostera marina,NA,Intertidal,1.43,5.4,na,0.38,0.21,0.59,0.51,0.13,na,1394.3,5577.2,NA
Murray 2017,Washington,Central Salish Sea,Padilla Bay,August - September 2016,Vegetated,3,66.6,60,80,NA,NA,48.55,-122.50,Zostera marina,NA,Intertidal,1.08,NA,1.66,0.22,0.14,0.40,0.30,0.08,950,796,3184,NA
Murray 2017,Washington,Central Salish Sea,Padilla Bay,August - September 2016,Unvegetated,3,80,80,80,NA,NA,48.55,-122.50,bare,NA,Intertidal,1.14,NA,2.79,0.35,0.17,1.08,0.69,0.35,NA,1528,6112,NA
Murray 2017,Washington,Central Salish Sea,Skagit Bay,August - September 2016,Vegetated,3,73.3,60,80,NA,NA,48.33,-122.32,Zostera marina,NA,Intertidal,1.06,NA,2.97,0.36,0.17,0.92,0.40,0.04,1128,1005,4020,NA
Murray 2017,Washington,Central Salish Sea,Skagit Bay,August - September 2016,Unvegetated,3,73.3,60,80,NA,NA,48.33,-122.32,bare,NA,Intertidal,1.03,NA,2.27,0.24,0.10,1.11,0.32,0.08,NA,796,3184,NA
Spooner 2015,British Columbia,Vancouver Island BC,K'omoks Estuary,June - August 2014,Vegetated,4,52.1,44,58.5,2.3,4.2,49.67,-124.95,Zostera marina,NA,Intertidal,1.68,NA,na,0.42,NA,NA,0.83,0.41,3045,2537.5,NA,NA
Spooner 2015,British Columbia,Vancouver Island BC,K'omoks Estuary,June - August 2014,Unvegetated,1,54,54,54,1.5,2.5,49.67,-124.95,bare,NA,Intertidal,1.67,NA,na,0.19,NA,NA,0.33,0.26,1880,1566.7,NA,NA
Spooner 2015,British Columbia,Vancouver Island BC,K'omoks Estuary,June - August 2014,Vegetated,3,51.3,47,58,2.0,4.3,49.67,-124.95,Zostera marina,NA,Subtidal,1.70,NA,na,0.29,NA,NA,0.29,0.00,4080,3400.0,NA,NA
Spooner 2015,British Columbia,Vancouver Island BC,K'omoks Estuary,June - August 2014,Unvegetated,1,47,47,47,2.0,4.3,49.67,-124.95,bare,NA,Subtidal,1.64,NA,na,0.17,NA,NA,0.28,0.11,2750,2291.7,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
