region,site,dbd_g_cm3,percent_om,percent_oc,sed_primary,sed_secondary,sed_avg
Alaska,Blanquizal Point,1.33,2.38,0.71,3.1,3.7,3.4
Alaska,Chusini Cove,0.8,5.06,1.55,1,1,1
Alaska,Dunbar Inlet,1.63,8.29,2.56,2,2,2
Alaska,Garcia Bay,1.67,3.43,1.04,3.5,5.7,4.6
Alaska,Goat Mouth Inlet,1.58,2.2,0.65,4,5.8,4.9
Alaska,Hetta Cove,1.64,1.6,0.47,5.2,5,5.1
Alaska,Kaguk Cove,1.04,3.56,1.08,1.2,1.2,1.2
Alaska,Natzuhini Bay,1.28,2.92,0.88,4.6,3,3.8
Alaska,Naukati Bay,0.91,5.1,1.56,1,1,1
Alaska,North Pass,1.33,2.88,0.87,2.9,5.4,4.15
Alaska,Nossuk Bay,1.01,4.84,1.48,1.3,1.6,1.45
Alaska,Salt Lake Bay,1.25,9.38,2.9,1.6,1,1.3
Alaska,Soda Bay,1.47,7.16,2.21,2.9,2.4,2.65
Alaska,South Fish Egg Island,1.36,2.3,0.69,3.4,4,3.7
Alaska,South Wadleigh Island,1.02,4.96,1.52,1,1,1
Alaska,Trocadero Bay,1.77,1.74,0.51,4.7,7.3,6